EJM,KURAMOCHI,AGS,ECC10,SW982,A375,SW1710,REH,HCC2218,DB,BHY,SW1116,HPAC,TCCSUP,HARA,SW1990,HCC1419,NB4,HT55,SW948,OE33,MKN1,RKN,SW1573,GAMG,DEL,HCC1143,ECC12,HOS,RCC10RGB,HCC1395,8305C,KLE,T84,EKVX,HCC202,OVISE,BICR31,SU8686,A498,ACHN,C32,SW1463,SW1271,SW1417,OVTOKO,OE19,HCC1954,BEN,GCT,SW1783,HEL,MCF7,LOXIMVI,RT4,HCC38,MDST8,RD,ST486,SF539,MKN7,HCC1569,KM12,EHEB,T47D,AU565,RL,KATOIII,HH,FADU,HCC1500,SW1088,A101D,A172,HCC1428,HCC1937,SW48,T98G,OE21,KU812,A2780,SIMA,J82,A2058,YAPC,PSN1,NAMALWA,A204,CA46,SF295,DOV13,8505C,A673,MKN45,SF126,SNB75,EN,KELLY,RKO,HT,MM1S,A253,JM1,FU97,SF268,MC116,HCC1806,NB1,BICR22,22RV1,A549
0.18935996,-1.1911892,-0.49315608,-0.32543916,0.50575495,-0.64694977,0.33836415,-0.22255129,0.19349936,-0.7734821,-0.56050205,-0.92317593,-0.10210991,-0.61680967,-0.6812452,-0.95699525,0.45230094,-0.266277,-1.1784524,1.0435953,0.39409235,-0.5288961,-0.118545786,-0.36137587,-0.49401867,-0.56493396,0.010692596,-0.123080686,0.1310958,-1.1165738,-0.5408174,-0.67220753,-0.39798796,0.064665616,0.007852405,-0.97658074,-0.07721034,-0.48480958,0.74926496,0.39159635,-0.52550304,0.052571177,-0.3699332,0.0569672,-0.30293813,-0.40905964,-0.5827445,0.44117472,0.08621192,-0.5039543,-0.1445158,-0.7261273,-0.3642289,-0.37312114,-0.38921964,0.06698561,0.19218236,0.11902809,-0.94531703,-0.40268505,-0.54284924,1.0377033,-0.66909856,0.06903535,-0.28041694,-0.07692024,-0.3654883,-0.8606564,-0.30003294,-0.6914798,-0.5291636,1.3398958,-0.5790282,-0.09054728,-1.113698,-0.6187273,-0.59053123,-0.6101048,-0.15655363,-0.50909024,-0.3028367,-0.76960963,-0.37689626,0.64258933,-0.44206488,-0.4259675,-0.67218614,-0.09397891,-0.6972647,-0.6268314,0.11467087,-0.26117244,0.44888768,-0.59197307,0.5139191,-0.57253677,-0.11858712,-0.36987442,0.5427699,-0.20016071,0.25512388,-0.18895726,-0.1015061,-0.5493407,-0.21944442,-0.5502372,-0.28716424,-0.21146053,-0.8537049,-0.49910745,-0.8204268
-0.97993755,0.7092687,0.3202785,-0.21918787,-0.717381,0.18946081,-1.0178661,-0.6077101,-0.15343384,0.10212496,0.2057788,0.25322393,-0.21940419,0.21177912,0.07246131,0.5820688,-1.1313585,-0.30947852,0.700166,-0.9414474,-1.0839955,0.0053357333,-0.36504132,-0.4399891,0.23468244,-0.035790905,-0.44665813,-0.2749109,-0.78006256,0.7102698,0.0064484626,-0.00093731284,-0.4256519,-0.34838954,-0.015138432,0.09540421,-0.14911146,0.21507043,-1.2465132,-0.6684514,-0.17755546,-0.7240777,-0.003177762,-0.7269778,0.027288258,0.34154436,-0.14446805,-0.546606,-0.27097315,0.08611268,-0.48618624,-0.10656041,0.065163225,-0.25293747,0.082158476,-0.65692604,-0.7588862,-0.24350767,0.17658907,0.121231765,-0.13723925,-1.455829,0.112544864,-0.64295065,-0.0005052388,-0.73083174,0.05246517,0.6585438,-0.73140955,-0.023930967,-0.14912355,-1.747542,-0.25352353,-0.6378723,0.0144880265,-0.082049236,-0.049722522,-0.18858187,0.019102141,-0.14833154,-0.3266672,0.19994351,-0.06394683,-1.3507872,0.0845699,0.15140003,-0.1494499,0.21676728,0.078038305,0.2837605,-0.18910167,-0.25197625,-0.5712,0.18406057,-0.9217117,0.15010396,0.03241813,-0.049070477,-0.6546258,-0.2570546,-0.41543168,-0.32505882,-0.12279395,-0.13635305,-0.26760712,0.0066682845,-0.13536903,-0.24315496,0.18192348,-0.20391223,0.27129912
0.6133139,-0.715379,-0.14375356,0.14471339,0.7676017,-0.15624943,0.76658404,0.26263234,0.38266516,-0.30423766,-0.08020474,-0.48448074,0.21045282,-0.16348344,-0.22982264,-0.4754274,0.81942105,0.20691168,-0.68685406,1.2364061,0.7699481,-0.07752764,0.28206232,0.064681776,-0.037417516,-0.07782519,0.3428485,0.339076,0.59813094,-0.63016605,-0.096135035,-0.16013837,0.067670144,0.4525728,0.22163859,-0.45725822,0.30991998,-0.105971575,1.0915165,0.72202843,-0.0139032155,0.48388964,-0.033584625,0.44552717,0.068877734,-0.02375555,-0.0706255,0.7103622,0.34707582,-0.075480014,0.20512465,-0.22412106,0.019475296,0.13318387,-0.00020040572,0.5142995,0.5992355,0.46052113,-0.43556964,0.012202755,-0.06976093,1.3404114,-0.235609,0.49472526,0.10453617,0.3905693,0.056897365,-0.55608296,0.1897978,-0.20574093,-0.053318515,1.647722,-0.078767255,0.35743168,-0.5413339,-0.13468674,-0.12053764,-0.1360077,0.20859389,-0.027995795,0.16543062,-0.29526708,0.015547797,1.0330133,-0.0030289292,-0.04275237,-0.17176038,0.22295032,-0.21187049,-0.21789613,0.4472823,0.1672764,0.7778605,-0.2220991,0.890454,-0.15179211,0.24185227,0.11241346,0.81195116,0.2424796,0.5660323,0.2708167,0.2816292,-0.10891995,0.1889508,-0.11638892,0.15097064,0.23118952,-0.34604615,-0.007763356,-0.32262203
-0.57970375,1.4211154,1.0218201,-0.44882533,-0.20692563,-0.2236849,-1.1281164,-0.23647064,1.4377799,1.0228825,-0.4446393,1.591581,0.94065166,0.3084344,0.8197628,0.44505227,-0.5037761,-0.4140964,0.9051165,-1.11037,-0.7075142,0.10210712,-0.22499785,0.92708254,-0.35893393,0.18625975,0.362194,-1.042363,-1.1207582,0.8766088,0.34282497,-0.12029296,0.3450286,-0.6771515,1.5238131,0.86252856,-0.54728866,0.5849319,-1.5053649,-0.5629878,-0.2302855,-0.4828778,1.3091336,0.062037818,0.42722943,-0.037674945,-0.027149323,-0.16287239,0.8465997,0.114646494,1.0583276,0.6502106,0.3646242,-0.45516288,0.3744978,-1.0899552,-0.6230368,-0.39882267,0.8841361,-0.0891429,0.2456596,-1.6180841,0.778825,-0.83312446,0.15141574,-0.43029812,0.042130552,2.522621,0.15213126,0.37547567,0.4914572,-2.309771,0.42874408,-0.1830494,1.2174175,0.39431366,0.14443831,0.68018967,-0.2277275,-0.06003279,-0.44930312,0.36602578,0.4880391,-1.4614235,-0.31740728,0.8292639,0.40339977,0.050446898,0.29908708,0.7769404,-0.30232003,-0.082076654,-1.1427383,1.5566114,-1.4037629,0.4087228,-0.27690396,-0.66324276,-0.44162148,-0.58155453,-0.25301084,-0.37673223,-0.45578176,0.8708945,-0.077279896,0.8268754,-0.44381455,-0.20254585,0.49116513,-0.14764418,0.33887935
1.0873055,-1.2103641,-0.4065885,-0.6186981,1.1101043,-1.4031596,0.7203831,0.40809417,1.3217802,-0.14295882,-1.5989208,0.03188318,0.8226882,-0.94343853,-0.20928499,-1.7313235,1.6055021,-0.3878911,-1.646842,1.0165579,1.3094511,-0.6461209,0.025605649,1.0918102,-1.5462544,-0.5452616,0.8222287,-0.9587565,0.11509624,-1.6783395,-0.43726513,-0.93091005,0.50465095,-0.35092318,1.0282009,-0.3640363,-0.6977942,-0.58580816,1.0920084,0.5812188,-0.61514056,0.57472587,0.5857893,1.1070182,-0.27109835,-1.3909009,-0.52503633,0.74966496,0.9607356,-0.77555454,1.4494328,-0.039977618,-0.4330996,-0.6119849,-0.47365466,-0.10745321,0.5879173,-0.27019995,-0.50740147,-0.99197316,-0.24564676,1.5554569,-0.302581,0.111743,-0.4594003,0.56231034,-0.73739386,0.13467336,0.9928208,-0.42403087,-0.01609847,1.6461442,0.11859712,0.59322315,0.013830125,-0.26891708,-0.5247628,0.22398242,-0.77614903,-0.48666653,-0.37527436,-0.9186025,-0.058492556,1.2718947,-1.1448569,-0.24043852,-0.14361762,-0.8976298,-0.71436,-0.64025474,-0.2962115,-0.16490485,-0.11237906,0.30096257,0.3770575,-0.6657408,-0.8354002,-1.1999989,0.7662276,-0.58881027,0.296739,-0.29238594,-0.67560244,0.32832485,-0.089738965,-0.015449077,-0.74519825,-0.30297756,-0.83581823,-0.45218626,-1.142538
0.8734256,-0.5423926,-0.021677166,-0.23041427,0.92259085,-0.7319937,0.61504275,0.44020686,1.13273,0.13400908,-0.8655485,0.27173278,0.7749132,-0.4090394,0.08516787,-0.9177065,1.2190014,-0.07960076,-0.8472971,0.8363782,1.0177542,-0.22540694,0.20290557,0.9343198,-0.8248754,-0.16007748,0.74909645,-0.4716935,0.21952444,-0.8673688,-0.07995466,-0.4256535,0.526874,-0.055452906,0.9426826,-0.02270817,-0.27512774,-0.15866637,0.8507469,0.559248,-0.22491163,0.5451582,0.63265276,0.91532266,0.040355884,-0.7036511,-0.15886071,0.69106376,0.866655,-0.30593085,1.1797806,0.18184227,-0.06861953,-0.22994018,-0.09509621,0.078141615,0.5516029,0.013429329,-0.11268049,-0.4515021,0.036743846,1.1517671,0.024885833,0.23233974,-0.09375664,0.5345527,-0.28177747,0.3909142,0.83206594,-0.07569567,0.19546625,1.1838725,0.27657053,0.56678647,0.22989479,0.026312456,-0.14792642,0.3570912,-0.3108795,-0.13203642,-0.0733332,-0.39472142,0.17699072,0.9629301,-0.562605,0.07514834,0.105144754,-0.37177998,-0.26594022,-0.1897971,0.0016320646,0.082213424,0.0881792,0.45418724,0.3887847,-0.22268972,-0.3501839,-0.6156278,0.6909537,-0.21290097,0.3893088,-0.014135294,-0.25686166,0.43637556,0.13301468,0.21376655,-0.30846918,-0.01221589,-0.3398284,-0.11439782,-0.54262966
-1.1193889,0.59402615,0.079188615,0.16025922,-1.011526,0.7465401,-0.8330539,-0.64564717,-1.1295111,-0.21963021,0.9086586,-0.33823845,-0.83945996,0.4179439,-0.15332924,1.000167,-1.4736685,-0.019084707,0.92094386,-0.874895,-1.2525287,0.18925163,-0.28553188,-1.1374891,0.8870797,0.08569616,-0.8516889,0.43586916,-0.39541733,0.95167756,0.031918004,0.36291784,-0.7114913,0.022000566,-0.92440003,-0.090992555,0.28806016,0.19642687,-1.0502872,-0.6520665,0.12238923,-0.7292578,-0.67957735,-1.1121006,-0.0376705,0.8197106,0.050640374,-0.73734397,-0.90496284,0.30690187,-1.3549558,-0.32279706,0.077646464,0.12870532,0.104723096,-0.21112543,-0.7180716,-0.0053643286,0.029073775,0.4881215,-0.13763386,-1.3736514,-0.06827147,-0.36582702,0.09951544,-0.74922085,0.28701514,-0.31871063,-1.1061252,-0.012500986,-0.31616652,-1.4395608,-0.4405345,-0.7589801,-0.42501837,-0.12903313,0.07948677,-0.5048675,0.36286855,0.04444109,-0.027692154,0.37787735,-0.220509,-1.2275263,0.587803,-0.07159912,-0.24028674,0.49513048,0.21373537,0.21393603,0.021474242,-0.16061763,-0.11117053,-0.4875714,-0.52445185,0.22546041,0.4136765,0.602652,-0.74786025,0.1599411,-0.4205484,-0.08087354,0.272998,-0.5595913,-0.20404668,-0.28694314,0.28223968,-0.06081082,0.28814664,0.01041396,0.5347065
-0.6981477,0.6723777,0.057060655,0.5464116,-0.8868197,1.1013254,-0.3479576,-0.23400897,-1.3988712,-0.05510863,1.2680941,-0.27407938,-0.8513017,0.6358933,0.025378235,1.2273072,-1.1387107,0.35910404,1.1110722,-0.7214607,-0.85954785,0.47924727,0.008589439,-0.9677013,1.1891996,0.38097706,-0.7158076,0.8781058,0.10460723,1.1155852,0.2736064,0.76491106,-0.40270156,0.3264292,-1.1721731,0.20283037,0.567291,0.2991101,-0.5897793,-0.41868532,0.5354678,-0.34822536,-0.7194493,-0.8489155,0.07461533,0.9848843,0.4344405,-0.6483472,-0.961262,0.5595604,-1.292317,-0.03400206,0.21972078,0.54405874,0.2502527,0.2766474,-0.35763264,0.18297759,0.27776608,0.7286543,0.16908878,-0.9530537,0.10402928,0.061656922,0.2704731,-0.3211305,0.50040907,-0.6060603,-0.7055988,0.29803687,-0.06898805,-0.91454446,-0.124842785,-0.40757662,-0.12834665,0.1608333,0.40465903,-0.24782613,0.55694395,0.40662807,0.38305664,0.6576762,-0.059731387,-0.6994552,0.90739614,-0.033628188,0.09280589,0.5390373,0.51121485,0.31434608,0.17370665,0.1286237,0.19502494,-0.5426024,-0.08445317,0.42502046,0.5968595,1.0016252,-0.6096091,0.5324486,-0.2703329,0.25840005,0.5353538,-0.3868544,0.0724616,-0.14936659,0.6269296,0.22602266,0.58033925,0.40404457,0.8179086
0.74790335,-1.0740098,-0.38118726,-0.47164267,0.8573742,-1.0473021,0.5483928,0.19545606,0.8862214,-0.2990319,-1.1507252,-0.20965469,0.49804923,-0.7598125,-0.3072598,-1.3328134,1.1391798,-0.32216185,-1.3284906,0.9422221,0.95416975,-0.52939415,0.0052242726,0.59090877,-1.1057464,-0.5036111,0.5454229,-0.6378066,0.09979537,-1.345835,-0.40729088,-0.7508111,0.21911171,-0.19874424,0.65796053,-0.46910143,-0.44726813,-0.47981226,0.9155657,0.47286317,-0.5256766,0.37933865,0.2791348,0.72310257,-0.2450133,-0.97281814,-0.48575515,0.596941,0.645967,-0.5999824,0.8858715,-0.21501014,-0.3577718,-0.4994257,-0.39102647,-0.035212085,0.42166445,-0.13542055,-0.5645382,-0.71788144,-0.28941736,1.2739,-0.34976748,0.10617164,-0.3554602,0.33620474,-0.5673705,-0.12772816,0.5539124,-0.4333824,-0.1648773,1.401145,-0.0838738,0.34627864,-0.29560477,-0.33085203,-0.46471393,-0.014370859,-0.51585186,-0.42837712,-0.30122113,-0.7605996,-0.12017662,0.99412584,-0.81662285,-0.27897567,-0.25738573,-0.5924892,-0.6254594,-0.5634545,-0.1568687,-0.1647278,0.06146452,0.029456466,0.3846335,-0.5490027,-0.5487067,-0.8589072,0.6377672,-0.41433316,0.2630511,-0.25213125,-0.43795475,0.063523024,-0.09544722,-0.16413634,-0.53088796,-0.26332003,-0.7469752,-0.40395156,-0.9336977
-0.8794419,0.41375548,-0.09992913,0.029444382,-0.959046,0.4684503,-0.72193694,-0.50283307,-1.0964952,-0.17948237,0.5494212,-0.23077312,-0.7663046,0.20461719,-0.14597169,0.66647553,-1.1934584,-0.11095582,0.6661457,-0.9870948,-1.0072836,0.07975976,-0.3109457,-0.8500614,0.49831128,-0.0029697418,-0.7402237,0.16783394,-0.40525424,0.65036356,-0.03693515,0.25099307,-0.5247909,-0.17059039,-0.9122408,0.008094341,0.030212566,0.019904643,-0.9376966,-0.6944926,0.056248114,-0.62210524,-0.6104496,-0.89208055,-0.17833157,0.40865988,0.014028057,-0.7968877,-0.8532943,0.14173375,-1.0566485,-0.21330802,-0.077414885,0.010294393,-0.054594174,-0.25625277,-0.6560148,-0.23581775,0.050816372,0.22132607,-0.12701192,-1.2296587,-0.08433011,-0.3692482,-0.077756524,-0.59224933,0.0588779,-0.3338555,-0.7689206,-0.0051100254,-0.2829681,-1.3203129,-0.32125315,-0.62301064,-0.19768208,-0.11538509,0.03915851,-0.36078,0.07287569,6.394088e-05,-0.076747194,0.25551462,-0.2527041,-1.011828,0.3239311,-0.21279564,-0.15250522,0.08257167,0.12803812,0.05176358,-0.23205166,-0.21225569,-0.33491763,-0.45334148,-0.5746499,0.0907013,0.08770846,0.3139708,-0.8093596,0.0015237778,-0.53546166,-0.18927252,0.023118332,-0.43751073,-0.24253221,-0.285639,0.09562494,-0.1851787,0.20615079,-0.01459004,0.3494429
